employee_id,nom,prenom,genre,date_naissance,email,departement,ville,contrat,date_embauche,anciennete_annees,salaire_mensuel_brut,manager_id,temps_partiel,taux_activite
2333,Roux,Nicolas,F,1970-01-20,nicolas.roux@datascope.fr,Marketing,Marseille,CDD,2022-12-23,2.0,2228.0,2421,Oui,50
3065,Bertrand,Lucas,M,1984-12-28,lucas.bertrand@datascope.fr,RH,Paris,CDD,2015-12-04,9.1,2517.0,1100,Non,50
2322,Thomas,Sophie,M,1995-12-02,sophie.thomas@datascope.fr,RH,Nantes,CDD,2015-02-04,9.9,2812.0,1195,Non,50
1959,Thomas,Hugo,F,1995-11-15,hugo.thomas@datascope.fr,Commercial,Strasbourg,CDI,2020-05-22,4.6,2775.0,1880,Non,50
2810,Lefebvre,Emma,F,1995-06-30,emma.lefebvre@datascope.fr,RH,Grenoble,CDI,2019-12-15,5.0,2590.0,2515,Non,100
1281,Petit,Sophie,F,1988-02-05,sophie.petit@datascope.fr,Direction,Grenoble,CDI,2015-02-15,9.9,1813.0,3378,Oui,100
1710,Dubois,Pierre,F,2000-01-23,pierre.dubois@datascope.fr,Opérations,Lyon,CDD,2022-04-11,2.7,2072.0,1845,Non,50
2617,Bertrand,Chloé,M,1984-08-07,chloé.bertrand@datascope.fr,Opérations,Grenoble,CDI,2016-01-29,8.9,3526.0,1179,Non,80
1673,David,Julie,F,1978-05-12,julie.david@datascope.fr,Direction,Paris,CDI,2016-02-27,8.8,1361.0,,Oui,100
2404,Petit,Marie,F,1994-08-28,marie.petit@datascope.fr,R&D,Toulouse,CDD,2023-06-06,1.6,1707.0,1413,Non,100
3204,Lefebvre,Sophie,F,1970-09-18,sophie.lefebvre@datascope.fr,Direction,Strasbourg,CDI,2016-12-28,8.0,2574.0,,Non,100
1775,Robert,Paul,M,2000-07-16,paul.robert@datascope.fr,R&D,Bordeaux,Stage,2023-08-31,1.3,900,,Non,50
3179,Moreau,Hugo,M,2000-01-27,hugo.moreau@datascope.fr,Direction,Nantes,CDD,2020-12-29,4.0,2144.0,2067,Non,100
1957,Petit,Chloé,M,2014-09-07,chloé.petit@datascope.fr,Finance,Nantes,CDD,2018-04-24,6.7,0,2597,Non,80
2289,Richard,Alice,F,1969-01-03,alice.richard@datascope.fr,Marketing,Lille,Alternance,2016-10-12,8.2,924.0,2645,Non,80
1496,Bernard,Théo,M,1976-12-26,théo.bernard@datascope.fr,Finance,Marseille,CDI,2017-01-12,8.0,2796.0,1845,Oui,80
2776,Martin,Nicolas,NB,1966-12-04,nicolas.martin@datascope.fr,Juridique,Nantes,CDI,2024-04-20,0.7,3427.0,1335,Oui,80
1824,Durand,Emma,F,1986-07-07,emma.durand@datascope.fr,Marketing,Strasbourg,CDD,2024-06-17,0.5,3358.0,2645,Oui,100
3139,Thomas,Inès,M,1996-04-20,inès.thomas@datascope.fr,Finance,Lyon,CDI,2021-01-26,3.9,1568.0,3284,Non,80
2046,Garcia,Hugo,F,1981-02-12,hugo.garcia@datascope.fr,Direction,Bordeaux,Stage,2020-06-15,4.5,900,,Non,100
1127,Durand,Chloé,NB,2014-05-29,chloé.duranddatascope.fr,Marketing,Lyon,CDI,2020-12-06,4.1,0,1747,Oui,100
1677,Petit,Théo,F,1976-09-12,théo.petit@datascope.fr,RH,Toulouse,CDI,2021-04-24,3.7,2793.0,1561,Non,100
3293,Martin,Lucas,M,1999-12-20,lucas.martin@datascope.fr,Finance,Nantes,CDD,2018-07-11,6.5,2518.0,1194,Non,100
2648,Bernard,Inès,F,2000-10-20,inès.bernard@datascope.fr,Direction,Nice,CDI,2015-07-16,9.5,3457.0,2597,Oui,100
1655,Laurent,Julie,M,1994-03-31,julie.laurent@datascope.fr,Commercial,Lyon,CDI,2024-01-12,1.0,3173.0,,Non,100
1254,Roux,Thomas,F,1994-03-02,thomas.roux@datascope.fr,Finance,Grenoble,CDD,2015-06-30,9.5,3198.0,1194,Non,100
2705,Robert,Paul,F,1992-09-03,paul.robert@datascope.fr,Logistique,Grenoble,CDI,2019-04-19,5.7,2066.0,1401,Non,80
3000,Lefebvre,Pierre,M,1984-12-21,pierre.lefebvre@datascope.fr,Opérations,Paris,CDI,2016-12-22,8.0,3702.0,1092,Non,80
1485,David,Antoine,F,1986-04-20,antoine.david@datascope.fr,Direction,Toulouse,Interim,2021-06-03,3.6,2666.0,,Non,50
3324,Richard,Hugo,M,1985-10-08,hugo.richard@datascope.fr,R&D,Nantes,Alternance,2015-12-28,9.0,1189.0,2607,Non,100
1983,Laurent,Marie,M,1985-07-15,marie.laurent@datascope.fr,Finance,Grenoble,CDD,2017-01-19,7.9,2122.0,3028,Oui,50
2677,Fournier,Thomas,M,1982-02-21,thomas.fournier@datascope.fr,Informatique,Bordeaux,CDD,2018-03-03,6.8,1956.0,3142,Non,100
1767,Garcia,Pierre,M,1982-01-25,pierre.garcia@datascope.fr,Informatique,Toulouse,CDI,2020-03-14,4.8,2570.0,2645,Oui,100
3096,David,Alice,M,1985-04-07,alice.david@datascope.fr,Logistique,Nice,CDI,2017-04-19,7.7,2252.0,,Non,80
1529,Leroy,Léa,M,1987-02-25,léa.leroy@datascope.fr,Logistique,Grenoble,Alternance,2019-01-26,5.9,1127.0,1194,Non,100
1371,Thomas,Sophie,M,1998-11-05,sophie.thomas@datascope.fr,Commercial,Paris,Interim,2019-01-07,6.0,2577.0,2630,Oui,100
1225,Robert,Théo,F,1974-04-25,théo.robert@datascope.fr,R&D,Lyon,CDD,2015-07-20,9.5,2494.0,2619,Non,100
2613,Lefebvre,Théo,F,1984-06-09,théo.lefebvre@datascope.fr,Marketing,Paris,CDI,2022-06-04,2.6,3189.0,1195,Non,100
1335,Petit,Louis,M,2014-12-03,louis.petitdatascope.fr,Sales,Lyon,CDI,2017-08-17,7.4,0,,Non,100
1877,David,Alice,M,1980-02-26,alice.david@datascope.fr,R&D,Strasbourg,CDI,2023-10-06,1.2,3848.0,,Non,50
3149,Laurent,Camille,M,1984-09-24,camille.laurent@datascope.fr,Direction,Nice,CDD,2015-11-20,9.1,3048.0,1335,Non,100
1633,Robert,Julie,M,1997-03-02,julie.robert@datascope.fr,Opérations,Toulouse,CDI,2018-01-13,7.0,3507.0,1195,Non,80
2625,Dubois,Théo,NB,1976-04-16,théo.dubois@datascope.fr,Commercial,Lyon,CDD,2018-02-26,6.8,2849.0,,Non,100
3251,Leroy,Léa,F,1994-04-29,léa.leroy@datascope.fr,R&D,Strasbourg,CDI,2023-02-14,1.9,1874.0,,Non,80
3047,Lefebvre,Lucas,M,1982-11-19,lucas.lefebvre@datascope.fr,Juridique,Toulouse,Stage,2023-03-22,1.8,900,2421,Non,100
1124,Martin,Emma,M,1970-04-01,emma.martin@datascope.fr,Finance,Paris,CDI,2015-03-03,9.8,2973.0,1845,Oui,80
1533,Michel,Inès,NB,1987-08-14,inès.michel@datascope.fr,Logistique,Nantes,CDI,2016-10-08,8.2,3477.0,1875,Non,100
3357,Simon,Marie,F,2014-11-30,marie.simon@datascope.fr,Juridique,Paris,CDI,2023-02-05,1.9,,1194,Non,100
1333,Dubois,Camille,NB,1983-08-16,camille.dubois@datascope.fr,R&D,Nice,CDI,2017-02-21,7.9,2217.0,1195,Non,100
1229,Simon,Lucas,M,1990-10-12,lucas.simon@datascope.fr,Informatique,Nice,CDI,2016-06-05,8.6,2087.0,1747,Non,80
1631,Laurent,Antoine,M,1967-11-16,antoine.laurent@datascope.fr,Opérations,Paris,Stage,2017-12-13,7.0,900,3142,Oui,80
1749,Fournier,Marie,F,1998-12-22,marie.fournier@datascope.fr,Logistique,Toulouse,CDI,2022-07-08,2.5,2674.0,1875,Non,100
1851,Fournier,Sophie,M,1971-05-24,sophie.fournier@datascope.fr,Direction,Lille,Stage,2022-10-18,2.2,900,1957,Non,80
1609,Dubois,Hugo,M,1965-08-02,hugo.dubois@datascope.fr,Direction,Bordeaux,CDI,2022-04-05,2.7,2273.0,3004,Oui,50
2445,Petit,Julie,F,1993-08-28,julie.petit@datascope.fr,Logistique,Bordeaux,CDI,2017-05-09,7.6,2842.0,2421,Non,80
1228,Leroy,Julie,M,1982-06-29,julie.leroy@datascope.fr,Informatique,Lille,CDI,2016-02-09,8.9,2492.0,1005,Non,100
3099,Simon,Théo,F,1970-11-08,théo.simon@datascope.fr,Commercial,Lyon,CDI,2018-10-27,6.2,3558.0,,Non,100
2765,Fournier,Louis,F,1990-10-16,louis.fournier@datascope.fr,RH,Marseille,CDI,2017-06-18,7.5,2833.0,,Non,80
1469,Vincent,Marie,M,1967-11-30,marie.vincent@datascope.fr,Direction,Nantes,Stage,2019-02-28,5.8,900,2245,Non,100
1779,Leroy,Thomas,M,1970-08-05,thomas.leroy@datascope.fr,R&D,Strasbourg,CDI,2022-12-05,2.1,2347.0,1005,Oui,50
1345,Petit,Théo,F,1966-06-10,théo.petit@datascope.fr,Informatique,Paris,CDI,2024-04-08,0.7,2497.0,1845,Non,100
2165,Roux,Antoine,M,1982-03-19,antoine.roux@datascope.fr,RH,Toulouse,Alternance,2023-12-08,1.1,1182.0,1818,Non,100
1311,Martin,Emma,M,1979-01-31,emma.martin@datascope.fr,Opérations,Grenoble,CDI,2022-08-19,2.4,4089.0,1401,Non,50
3398,Thomas,Louis,M,1968-02-15,louis.thomas@datascope.fr,Informatique,Marseille,Stage,2020-11-23,4.1,900,,Non,100
2242,Lefebvre,Lucas,F,1968-06-14,lucas.lefebvre@datascope.fr,Commercial,Strasbourg,Stage,2020-10-04,4.2,946.0,1818,Non,100
1255,Robert,Marie,F,1999-12-29,marie.robert@datascope.fr,R&D,Paris,CDI,2021-07-22,3.4,2658.0,,Oui,100
2018,Richard,Alice,F,1981-09-24,alice.richard@datascope.fr,Direction,Lille,Alternance,2016-08-14,8.4,993.0,1247,Non,80
2743,Durand,Hugo,M,1994-06-06,hugo.durand@datascope.fr,Opérations,Lille,CDI,2021-06-18,3.5,2229.0,1201,Non,100
2556,Michel,Camille,M,1998-12-21,camille.michel@datascope.fr,Direction,Nice,CDI,2016-12-31,8.0,2996.0,1801,Non,100
1756,Dubois,Lucas,M,1987-07-22,lucas.dubois@datascope.fr,Finance,Strasbourg,CDD,2018-10-31,6.2,2415.0,1413,Non,100
1482,Vincent,Camille,M,1989-03-17,camille.vincent@datascope.fr,Juridique,Lille,CDI,2015-04-09,9.7,3349.0,1519,Non,100
1403,Thomas,Lucas,NB,1986-09-26,lucas.thomas@datascope.fr,Opérations,Toulouse,CDD,2020-09-25,4.3,2215.0,1196,Non,100
2314,Simon,Pierre,M,1983-06-21,pierre.simon@datascope.fr,Finance,Marseille,CDD,2022-08-14,2.4,2768.0,1875,Non,80
2452,Leroy,Emma,F,1974-04-18,emma.leroy@datascope.fr,Direction,Lille,Interim,2024-12-12,0.1,2580.0,2421,Non,80
1744,Richard,Marie,F,1990-07-10,marie.richard@datascope.fr,Direction,Strasbourg,Stage,2022-08-10,2.4,900,1127,Non,100
2118,Vincent,Pierre,M,1975-11-28,pierre.vincent@datascope.fr,Opérations,Lille,CDD,2016-07-17,8.5,2462.0,1818,Non,100
1488,Bertrand,Thomas,F,1995-09-10,thomas.bertrand@datascope.fr,Finance,Nice,CDI,2024-10-18,0.2,3338.0,1179,Non,100
3156,Durand,Nicolas,F,1972-02-25,nicolas.durand@datascope.fr,Informatique,Bordeaux,CDI,2019-08-31,5.3,2114.0,3334,Non,100
1298,Garcia,Emma,M,1992-12-24,emma.garcia@datascope.fr,R&D,Lyon,CDI,2022-11-21,2.1,2350.0,1136,Oui,100
1320,Michel,Lucas,F,1999-03-27,lucas.michel@datascope.fr,Commercial,Lille,Interim,2020-09-07,4.3,2816.0,2597,Oui,50
1524,Leroy,Inès,F,1990-10-09,inès.leroy@datascope.fr,Marketing,Lille,CDD,2024-09-28,0.3,2341.0,2597,Non,100
1178,Simon,Antoine,F,1996-09-10,antoine.simon@datascope.fr,Marketing,Strasbourg,CDI,2020-05-29,4.6,2701.0,1413,Oui,100
2038,Moreau,Nicolas,NB,1986-11-26,nicolas.moreau@datascope.fr,Informatique,Lille,Stage,2015-06-12,9.6,900,1801,Non,80
2653,Durand,Louis,F,2000-07-20,louis.durand@datascope.fr,Finance,Paris,CDI,2019-08-17,5.4,2936.0,3028,Non,80
1212,Martin,Pierre,F,1972-04-18,pierre.martin@datascope.fr,R&D,Nantes,CDD,2020-01-23,4.9,3438.0,1641,Non,100
2630,Lefebvre,Pierre,M,2013-08-10,pierre.lefebvredatascope.fr,Finance,Grenoble,CDI,2023-09-12,1.3,0,1127,Non,100
1971,Richard,Nicolas,F,1992-07-02,nicolas.richard@datascope.fr,Logistique,Grenoble,CDI,2018-11-06,6.2,2836.0,3284,Non,100
2510,Roux,Louis,F,1968-06-22,louis.roux@datascope.fr,Marketing,Strasbourg,CDI,2024-03-06,0.8,2961.0,2067,Non,80
2971,Garcia,Camille,M,1994-01-10,camille.garcia@datascope.fr,Opérations,Lille,CDD,2019-01-29,5.9,2234.0,3004,Non,80
1271,Simon,Chloé,F,1965-05-26,chloé.simon@datascope.fr,Juridique,Bordeaux,CDD,2018-05-27,6.6,2885.0,2515,Non,100
2453,Laurent,Julie,M,1969-08-06,julie.laurent@datascope.fr,RH,Toulouse,CDI,2016-02-27,8.8,,,Non,100
1866,Simon,Léa,M,1983-10-28,léa.simon@datascope.fr,Informatique,Paris,Alternance,2024-05-09,0.6,1153.0,3028,Non,100
2370,Roux,Alice,F,1974-05-26,alice.roux@datascope.fr,Informatique,Marseille,CDI,2018-06-13,6.6,3863.0,1880,Non,100
1681,Michel,Inès,M,1983-10-31,inès.michel@datascope.fr,Logistique,Bordeaux,CDI,2023-06-26,1.5,2662.0,,Non,100
1996,Thomas,Lucas,F,1969-10-11,lucas.thomas@datascope.fr,Marketing,Toulouse,CDI,2020-07-01,4.5,1700.0,3284,Non,80
1024,Moreau,Louis,F,1994-12-05,louis.moreau@datascope.fr,Juridique,Lille,CDI,2022-12-18,2.0,1791.0,2630,Non,100
3318,Moreau,Nicolas,F,1998-05-24,nicolas.moreau@datascope.fr,Juridique,Bordeaux,CDI,2016-10-05,8.2,3856.0,1179,Non,100
3172,Garcia,Hugo,M,1986-08-25,hugo.garcia@datascope.fr,Marketing,Grenoble,CDI,2017-05-10,7.6,2743.0,1569,Non,100
3356,Petit,Pierre,M,1978-08-22,pierre.petit@datascope.fr,Finance,Strasbourg,CDD,2022-08-17,2.4,2871.0,1179,Non,80
3111,Thomas,Chloé,NB,1989-10-01,chloé.thomas@datascope.fr,Opérations,Toulouse,CDI,2020-09-18,4.3,2901.0,2630,Non,100
3274,Moreau,Emma,M,1991-08-23,emma.moreau@datascope.fr,Marketing,Marseille,CDI,2022-05-08,2.7,3070.0,1801,Oui,50
2171,Leroy,Pierre,M,1979-10-09,pierre.leroy@datascope.fr,Juridique,Bordeaux,CDI,2017-10-21,7.2,2718.0,2461,Non,100
3292,Richard,Alice,M,1965-08-11,alice.richard@datascope.fr,RH,Lille,CDD,2024-12-18,0.0,2173.0,1179,Non,100
1669,Lefebvre,Inès,M,1987-05-25,inès.lefebvre@datascope.fr,Juridique,Nantes,CDI,2022-06-18,2.5,2850.0,1569,Non,80
1214,Roux,Hugo,NB,1974-01-19,hugo.roux@datascope.fr,R&D,Bordeaux,CDI,2020-07-28,4.4,2878.0,2967,Non,50
2615,Richard,Lucas,F,1985-08-13,lucas.richard@datascope.fr,Commercial,Grenoble,CDI,2015-03-08,9.8,,2245,Non,100
3288,Simon,Romain,F,1992-05-02,romain.simon@datascope.fr,RH,Nice,CDD,2024-04-10,0.7,1792.0,1957,Non,100
2016,Lefebvre,Théo,F,1987-10-25,théo.lefebvre@datascope.fr,RH,Paris,CDD,2024-03-31,0.8,2556.0,3016,Non,100
1543,Vincent,Louis,F,1973-07-18,louis.vincent@datascope.fr,Finance,Grenoble,CDI,2015-02-01,9.9,2552.0,,Non,100
2009,Durand,Camille,F,1968-12-17,camille.durand@datascope.fr,Finance,Lyon,CDI,2015-05-29,9.6,3849.0,2245,Oui,100
2822,David,Romain,F,1991-07-14,romain.david@datascope.fr,Marketing,Lyon,CDI,2018-01-06,7.0,3220.0,3004,Non,50
2155,Moreau,Inès,NB,1967-03-14,inès.moreau@datascope.fr,Informatique,Nice,CDI,2024-12-29,0.0,1803.0,2461,Oui,100
2344,Durand,Pierre,F,1965-01-13,pierre.durand@datascope.fr,R&D,Lille,CDI,2016-06-24,8.5,2936.0,1569,Non,100
2153,Garcia,Théo,F,1965-01-17,théo.garcia@datascope.fr,Commercial,Paris,CDI,2021-11-05,3.2,3534.0,1100,Non,100
2976,Bernard,Julie,M,1985-08-07,julie.bernard@datascope.fr,RH,Paris,CDD,2023-01-15,2.0,2098.0,,Non,100
2853,Michel,Louis,F,1985-06-16,louis.michel@datascope.fr,RH,Nice,CDD,2019-08-23,5.4,1927.0,3334,Non,100
1232,Michel,Marie,NB,1971-02-23,marie.michel@datascope.fr,Marketing,Grenoble,CDI,2020-09-26,4.3,900,1179,Non,100
2665,Fournier,Romain,M,1984-05-10,romain.fournier@datascope.fr,Direction,Nantes,CDI,2017-09-12,7.3,4139.0,2245,Oui,100
2400,Moreau,Paul,M,1973-05-24,paul.moreau@datascope.fr,Finance,Marseille,CDI,2023-03-24,1.8,3633.0,,Non,50
2945,Moreau,Emma,F,1972-10-04,emma.moreau@datascope.fr,R&D,Toulouse,CDI,2022-02-15,2.9,3910.0,1005,Non,80
1402,Richard,Léa,F,1981-09-17,léa.richard@datascope.fr,Logistique,Strasbourg,CDI,2017-07-10,7.5,3054.0,1005,Non,100
3287,Robert,Pierre,F,1965-03-18,pierre.robert@datascope.fr,Commercial,Lille,CDD,2020-03-06,4.8,2849.0,,Non,50
2755,Garcia,Louis,F,1986-12-01,louis.garcia@datascope.fr,Informatique,Toulouse,Stage,2018-01-29,6.9,900,,Non,100
2010,Robert,Paul,NB,1994-11-04,paul.robert@datascope.fr,Informatique,Nantes,CDD,2017-12-24,7.0,2910.0,3016,Oui,50
2060,Richard,Théo,F,1965-10-25,théo.richard@datascope.fr,Logistique,Nice,CDI,2019-01-09,6.0,3282.0,,Non,100
3173,Dubois,Hugo,F,1991-03-29,hugo.dubois@datascope.fr,Commercial,Strasbourg,CDD,2023-06-14,1.5,1834.0,2645,Non,50
2911,Simon,Antoine,F,1977-01-14,antoine.simon@datascope.fr,Direction,Lyon,CDI,2020-06-11,4.6,2222.0,3284,Non,50
2192,Simon,Camille,M,1983-01-22,camille.simon@datascope.fr,Logistique,Grenoble,CDI,2020-05-13,4.6,2242.0,2461,Non,100
1194,Richard,Pierre,F,2014-06-20,pierre.richard@datascope.fr,R&D,Strasbourg,CDI,2015-11-12,9.1,0,1845,Non,100
3029,Robert,Antoine,M,1992-02-19,antoine.robert@datascope.fr,Commercial,Nantes,CDI,2018-07-06,6.5,3109.0,2597,Non,100
2015,Garcia,Paul,M,1973-02-08,paul.garcia@datascope.fr,RH,Nantes,CDD,2018-12-04,6.1,1745.0,1561,Non,100
1327,Thomas,Lucas,F,1973-11-24,lucas.thomas@datascope.fr,RH,Marseille,CDI,2017-09-22,7.3,1952.0,2421,Non,80
1596,Dubois,Julie,F,1987-04-05,julie.dubois@datascope.fr,R&D,Bordeaux,CDI,2016-07-30,8.4,1109.0,1247,Non,100
3333,Durand,Alice,M,1990-09-08,alice.durand@datascope.fr,Juridique,Nantes,Alternance,2016-04-27,8.7,900,1747,Non,80
2243,Roux,Lucas,M,1982-06-03,lucas.roux@datascope.fr,Direction,Bordeaux,CDI,2024-12-04,0.1,2297.0,,Non,100
3327,Vincent,Théo,M,1984-06-01,théo.vincent@datascope.fr,Commercial,Marseille,CDI,2024-05-28,0.6,1431.0,2461,Non,80
1636,David,Paul,F,1982-11-14,paul.david@datascope.fr,Marketing,Lyon,CDI,2015-07-12,9.5,2488.0,,Non,50
1273,David,Lucas,F,1970-04-23,lucas.david@datascope.fr,Informatique,Grenoble,CDI,2022-05-31,2.6,2957.0,1307,Non,100
2077,Fournier,Lucas,M,1972-01-08,lucas.fournier@datascope.fr,Logistique,Strasbourg,Interim,2019-10-22,5.2,1327.0,1195,Non,100
2068,Robert,Chloé,M,1998-04-02,chloé.robert@datascope.fr,R&D,Paris,Interim,2017-10-26,7.2,2049.0,2525,Non,100
1561,Laurent,Marie,M,2012-07-29,marie.laurentdatascope.fr,Legal,Marseille,CDI,2017-10-10,7.2,0,3142,Non,100
3263,Lefebvre,Chloé,F,1970-07-10,chloé.lefebvre@datascope.fr,Informatique,Nice,CDI,2021-01-17,4.0,2549.0,1818,Non,100
1070,Richard,Paul,F,1973-06-22,paul.richard@datascope.fr,Opérations,Toulouse,CDI,2021-05-22,3.6,3222.0,,Non,100
2916,Fournier,Alice,M,1985-01-04,alice.fournier@datascope.fr,Commercial,Lyon,CDI,2023-12-12,1.1,3597.0,1875,Oui,100
1527,Robert,Lucas,M,1972-04-20,lucas.robert@datascope.fr,Informatique,Paris,Stage,2015-06-13,9.6,900,,Oui,100
3276,Moreau,Chloé,M,1999-06-19,chloé.moreau@datascope.fr,Informatique,Lille,CDI,2016-01-03,9.0,3079.0,2967,Non,100
1626,Durand,Julie,F,1975-01-22,julie.durand@datascope.fr,Commercial,Strasbourg,CDI,2017-06-13,7.6,2142.0,,Non,80
1374,Vincent,Antoine,M,1998-09-19,antoine.vincent@datascope.fr,Marketing,Lyon,CDI,2015-12-11,9.1,2564.0,1801,Non,80
2651,Robert,Lucas,M,1996-05-04,lucas.robert@datascope.fr,R&D,Nantes,Alternance,2016-11-28,8.1,1424.0,1569,Non,80
1300,David,Alice,M,1990-09-29,alice.david@datascope.fr,Commercial,Lyon,Stage,2019-11-10,5.1,,2245,Non,100
1862,Petit,Chloé,M,1998-04-03,chloé.petit@datascope.fr,RH,Strasbourg,CDI,2022-11-03,2.2,4225.0,1194,Non,80
2690,Durand,Camille,F,1993-08-27,camille.durand@datascope.fr,Commercial,Grenoble,CDI,2017-07-02,7.5,2526.0,3334,Oui,100
3015,Richard,Paul,F,1982-10-08,paul.richard@datascope.fr,Commercial,Nice,CDI,2016-03-30,8.8,3421.0,,Non,100
3281,Robert,Antoine,F,1990-11-13,antoine.robert@datascope.fr,Finance,Lyon,CDD,2017-01-25,7.9,2711.0,2525,Non,100
2909,Dubois,Sophie,F,1973-11-29,sophie.dubois@datascope.fr,RH,Bordeaux,CDI,2017-09-14,7.3,1542.0,2461,Oui,100
1635,Bertrand,Nicolas,F,1985-09-01,nicolas.bertrand@datascope.fr,Informatique,Grenoble,CDI,2020-04-20,4.7,1753.0,,Non,50
1924,Richard,Hugo,F,1993-02-19,hugo.richard@datascope.fr,Informatique,Paris,Stage,2017-02-07,7.9,900,,Non,100
2684,Petit,Thomas,M,2000-04-28,thomas.petit@datascope.fr,Direction,Bordeaux,Interim,2019-05-21,5.6,2458.0,,Non,100
1513,Garcia,Nicolas,M,1965-08-04,nicolas.garcia@datascope.fr,Informatique,Paris,CDI,2020-10-18,4.2,3723.0,,Non,100
1952,Petit,Julie,F,1983-10-13,julie.petit@datascope.fr,Informatique,Bordeaux,CDI,2022-11-17,2.1,3990.0,2835,Non,50
1425,Bertrand,Sarah,F,1979-10-24,sarah.bertrand@datascope.fr,Juridique,Bordeaux,CDI,2017-02-21,7.9,1790.0,2835,Non,100
1679,Richard,Léa,M,1973-04-14,léa.richard@datascope.fr,Finance,Nice,CDI,2017-03-10,7.8,1818.0,3334,Non,100
3321,Durand,Louis,F,1980-07-29,louis.durand@datascope.fr,Juridique,Paris,CDD,2020-05-26,4.6,2939.0,1561,Oui,100
2659,Moreau,Camille,M,1974-04-09,camille.moreau@datascope.fr,Opérations,Bordeaux,CDI,2021-09-23,3.3,2429.0,3284,Non,100
1015,Dubois,Sophie,F,1974-01-18,sophie.dubois@datascope.fr,Logistique,Nantes,CDI,2023-12-27,1.0,2505.0,2630,Non,100
1445,Michel,Camille,F,1978-04-24,camille.michel@datascope.fr,Informatique,Toulouse,CDI,2021-09-29,3.3,1947.0,1948,Non,50
2595,Bernard,Pierre,M,1967-06-11,pierre.bernard@datascope.fr,Opérations,Grenoble,CDD,2021-09-19,3.3,3012.0,2515,Non,50
1566,David,Léa,M,1986-06-23,léa.david@datascope.fr,Informatique,Nantes,CDI,2023-07-17,1.5,2670.0,2630,Non,100
1937,Bernard,Hugo,M,1987-01-30,hugo.bernard@datascope.fr,Informatique,Bordeaux,CDI,2021-01-29,3.9,2505.0,2607,Non,80
