employee_id,genre,email,departement,ville,contrat,date_embauche,anciennete_annees,salaire_mensuel_brut,temps_partiel,taux_activite,age,tranche_age
3179,M,hugo.moreau@datascope.fr,Direction,Nantes,CDD,2020-12-29,4.0,2144.0,Non,100,24,Moins de 25 ans
1957,M,chloé.petit@datascope.fr,Finance,Nantes,CDD,2018-04-24,6.7,971.0,Oui,80,10,Moins de 25 ans
2289,F,alice.richard@datascope.fr,Marketing,Lille,Alternance,2016-10-12,8.2,924.0,Oui,80,55,55 ans et plus
1496,M,théo.bernard@datascope.fr,Finance,Marseille,CDI,2017-01-12,8.0,2796.0,Oui,80,48,45-54 ans
2776,NB,nicolas.martin@datascope.fr,Juridique,Nantes,CDI,2024-04-20,0.7,3427.0,Oui,80,58,55 ans et plus
1824,F,emma.durand@datascope.fr,Marketing,Strasbourg,CDD,2024-06-17,0.5,3358.0,Non,100,38,35-44 ans
3139,M,inès.thomas@datascope.fr,Finance,Lyon,CDI,2021-01-26,3.9,1568.0,Oui,80,28,25-34 ans
2046,F,hugo.garcia@datascope.fr,Direction,Bordeaux,Stage,2020-06-15,4.5,900.0,Non,100,43,35-44 ans
1127,NB,chloé.duranddatascope.fr,Marketing,Lyon,CDI,2020-12-06,4.1,3064.5,Non,100,10,Moins de 25 ans
1677,F,théo.petit@datascope.fr,RH,Toulouse,CDI,2021-04-24,3.7,2793.0,Non,100,48,45-54 ans
3293,M,lucas.martin@datascope.fr,Finance,Nantes,CDD,2018-07-11,6.5,2518.0,Non,100,25,25-34 ans
2648,F,inès.bernard@datascope.fr,Direction,Nice,CDI,2015-07-16,9.5,3457.0,Non,100,24,Moins de 25 ans
1655,M,julie.laurent@datascope.fr,Commercial,Lyon,CDI,2024-01-12,1.0,3173.0,Non,100,30,25-34 ans
1254,F,thomas.roux@datascope.fr,Finance,Grenoble,CDD,2015-06-30,9.5,3198.0,Non,100,30,25-34 ans
2705,F,paul.robert@datascope.fr,Logistique,Grenoble,CDI,2019-04-19,5.7,2066.0,Oui,80,32,25-34 ans
3000,M,pierre.lefebvre@datascope.fr,Opérations,Paris,CDI,2016-12-22,8.0,3702.0,Oui,80,40,35-44 ans
1485,F,antoine.david@datascope.fr,Direction,Toulouse,Interim,2021-06-03,3.6,2666.0,Oui,50,38,35-44 ans
3324,M,hugo.richard@datascope.fr,R&D,Nantes,Alternance,2015-12-28,9.0,1189.0,Non,100,39,35-44 ans
1983,M,marie.laurent@datascope.fr,Finance,Grenoble,CDD,2017-01-19,7.9,2122.0,Oui,50,39,35-44 ans
2677,M,thomas.fournier@datascope.fr,Informatique,Bordeaux,CDD,2018-03-03,6.8,1956.0,Non,100,42,35-44 ans
1767,M,pierre.garcia@datascope.fr,Informatique,Toulouse,CDI,2020-03-14,4.8,2570.0,Non,100,42,35-44 ans
3096,M,alice.david@datascope.fr,Logistique,Nice,CDI,2017-04-19,7.7,2252.0,Oui,80,39,35-44 ans
1529,M,léa.leroy@datascope.fr,Logistique,Grenoble,Alternance,2019-01-26,5.9,1127.0,Non,100,37,35-44 ans
1371,M,sophie.thomas@datascope.fr,Commercial,Paris,Interim,2019-01-07,6.0,2577.0,Non,100,26,25-34 ans
1225,F,théo.robert@datascope.fr,R&D,Lyon,CDD,2015-07-20,9.5,2494.0,Non,100,50,45-54 ans
2613,F,théo.lefebvre@datascope.fr,Marketing,Paris,CDI,2022-06-04,2.6,3189.0,Non,100,40,35-44 ans
1335,M,louis.petitdatascope.fr,Sales,Lyon,CDI,2017-08-17,7.4,0.0,Non,100,10,Moins de 25 ans
1877,M,alice.david@datascope.fr,R&D,Strasbourg,CDI,2023-10-06,1.2,3848.0,Oui,50,44,35-44 ans
3149,M,camille.laurent@datascope.fr,Direction,Nice,CDD,2015-11-20,9.1,3048.0,Non,100,40,35-44 ans
1633,M,julie.robert@datascope.fr,Opérations,Toulouse,CDI,2018-01-13,7.0,3507.0,Oui,80,27,25-34 ans
2625,NB,théo.dubois@datascope.fr,Commercial,Lyon,CDD,2018-02-26,6.8,2849.0,Non,100,48,45-54 ans
3251,F,léa.leroy@datascope.fr,R&D,Strasbourg,CDI,2023-02-14,1.9,1874.0,Oui,80,30,25-34 ans
3047,M,lucas.lefebvre@datascope.fr,Juridique,Toulouse,Stage,2023-03-22,1.8,900.0,Non,100,42,35-44 ans
1124,M,emma.martin@datascope.fr,Finance,Paris,CDI,2015-03-03,9.8,2973.0,Oui,80,54,45-54 ans
1533,NB,inès.michel@datascope.fr,Logistique,Nantes,CDI,2016-10-08,8.2,3477.0,Non,100,37,35-44 ans
3357,F,marie.simon@datascope.fr,Juridique,Paris,CDI,2023-02-05,1.9,2703.0,Non,100,10,Moins de 25 ans
1333,NB,camille.dubois@datascope.fr,R&D,Nice,CDI,2017-02-21,7.9,2217.0,Non,100,41,35-44 ans
1229,M,lucas.simon@datascope.fr,Informatique,Nice,CDI,2016-06-05,8.6,2087.0,Oui,80,34,25-34 ans
1631,M,antoine.laurent@datascope.fr,Opérations,Paris,Stage,2017-12-13,7.0,900.0,Oui,80,57,55 ans et plus
1749,F,marie.fournier@datascope.fr,Logistique,Toulouse,CDI,2022-07-08,2.5,2674.0,Non,100,26,25-34 ans
1851,M,sophie.fournier@datascope.fr,Direction,Lille,Stage,2022-10-18,2.2,900.0,Oui,80,53,45-54 ans
1609,M,hugo.dubois@datascope.fr,Direction,Bordeaux,CDI,2022-04-05,2.7,2273.0,Oui,50,59,55 ans et plus
2445,F,julie.petit@datascope.fr,Logistique,Bordeaux,CDI,2017-05-09,7.6,2842.0,Oui,80,31,25-34 ans
1228,M,julie.leroy@datascope.fr,Informatique,Lille,CDI,2016-02-09,8.9,2492.0,Non,100,42,35-44 ans
3099,F,théo.simon@datascope.fr,Commercial,Lyon,CDI,2018-10-27,6.2,3558.0,Non,100,54,45-54 ans
2765,F,louis.fournier@datascope.fr,RH,Marseille,CDI,2017-06-18,7.5,2833.0,Oui,80,34,25-34 ans
1469,M,marie.vincent@datascope.fr,Direction,Nantes,Stage,2019-02-28,5.8,900.0,Non,100,57,55 ans et plus
1779,M,thomas.leroy@datascope.fr,R&D,Strasbourg,CDI,2022-12-05,2.1,2347.0,Oui,50,54,45-54 ans
1345,F,théo.petit@datascope.fr,Informatique,Paris,CDI,2024-04-08,0.7,2497.0,Non,100,58,55 ans et plus
2165,M,antoine.roux@datascope.fr,RH,Toulouse,Alternance,2023-12-08,1.1,1182.0,Non,100,42,35-44 ans
1311,M,emma.martin@datascope.fr,Opérations,Grenoble,CDI,2022-08-19,2.4,4089.0,Oui,50,45,45-54 ans
3398,M,louis.thomas@datascope.fr,Informatique,Marseille,Stage,2020-11-23,4.1,900.0,Non,100,56,55 ans et plus
2242,F,lucas.lefebvre@datascope.fr,Commercial,Strasbourg,Stage,2020-10-04,4.2,946.0,Non,100,56,55 ans et plus
1255,F,marie.robert@datascope.fr,R&D,Paris,CDI,2021-07-22,3.4,2658.0,Non,100,25,25-34 ans
2018,F,alice.richard@datascope.fr,Direction,Lille,Alternance,2016-08-14,8.4,993.0,Oui,80,43,35-44 ans
2743,M,hugo.durand@datascope.fr,Opérations,Lille,CDI,2021-06-18,3.5,2229.0,Non,100,30,25-34 ans
2556,M,camille.michel@datascope.fr,Direction,Nice,CDI,2016-12-31,8.0,2996.0,Non,100,26,25-34 ans
1756,M,lucas.dubois@datascope.fr,Finance,Strasbourg,CDD,2018-10-31,6.2,2415.0,Non,100,37,35-44 ans
1482,M,camille.vincent@datascope.fr,Juridique,Lille,CDI,2015-04-09,9.7,3349.0,Non,100,35,35-44 ans
1403,NB,lucas.thomas@datascope.fr,Opérations,Toulouse,CDD,2020-09-25,4.3,2215.0,Non,100,38,35-44 ans
2314,M,pierre.simon@datascope.fr,Finance,Marseille,CDD,2022-08-14,2.4,2768.0,Oui,80,41,35-44 ans
2452,F,emma.leroy@datascope.fr,Direction,Lille,Interim,2024-12-12,0.1,2580.0,Oui,80,50,45-54 ans
1744,F,marie.richard@datascope.fr,Direction,Strasbourg,Stage,2022-08-10,2.4,900.0,Non,100,34,25-34 ans
2118,M,pierre.vincent@datascope.fr,Opérations,Lille,CDD,2016-07-17,8.5,2462.0,Non,100,49,45-54 ans
1488,F,thomas.bertrand@datascope.fr,Finance,Nice,CDI,2024-10-18,0.2,3338.0,Non,100,29,25-34 ans
3156,F,nicolas.durand@datascope.fr,Informatique,Bordeaux,CDI,2019-08-31,5.3,2114.0,Non,100,52,45-54 ans
1298,M,emma.garcia@datascope.fr,R&D,Lyon,CDI,2022-11-21,2.1,2350.0,Non,100,32,25-34 ans
1320,F,lucas.michel@datascope.fr,Commercial,Lille,Interim,2020-09-07,4.3,2816.0,Oui,50,25,25-34 ans
1524,F,inès.leroy@datascope.fr,Marketing,Lille,CDD,2024-09-28,0.3,2341.0,Non,100,34,25-34 ans
1178,F,antoine.simon@datascope.fr,Marketing,Strasbourg,CDI,2020-05-29,4.6,2701.0,Non,100,28,25-34 ans
2038,NB,nicolas.moreau@datascope.fr,Informatique,Lille,Stage,2015-06-12,9.6,900.0,Oui,80,38,35-44 ans
2653,F,louis.durand@datascope.fr,Finance,Paris,CDI,2019-08-17,5.4,2936.0,Oui,80,24,Moins de 25 ans
1212,F,pierre.martin@datascope.fr,R&D,Nantes,CDD,2020-01-23,4.9,3438.0,Non,100,52,45-54 ans
2630,M,pierre.lefebvredatascope.fr,Finance,Grenoble,CDI,2023-09-12,1.3,2561.0,Non,100,11,Moins de 25 ans
1971,F,nicolas.richard@datascope.fr,Logistique,Grenoble,CDI,2018-11-06,6.2,2836.0,Non,100,32,25-34 ans
2510,F,louis.roux@datascope.fr,Marketing,Strasbourg,CDI,2024-03-06,0.8,2961.0,Oui,80,56,55 ans et plus
2971,M,camille.garcia@datascope.fr,Opérations,Lille,CDD,2019-01-29,5.9,2234.0,Oui,80,30,25-34 ans
1271,F,chloé.simon@datascope.fr,Juridique,Bordeaux,CDD,2018-05-27,6.6,2885.0,Non,100,59,55 ans et plus
2453,M,julie.laurent@datascope.fr,RH,Toulouse,CDI,2016-02-27,8.8,2800.0,Non,100,55,55 ans et plus
1866,M,léa.simon@datascope.fr,Informatique,Paris,Alternance,2024-05-09,0.6,1153.0,Non,100,41,35-44 ans
2370,F,alice.roux@datascope.fr,Informatique,Marseille,CDI,2018-06-13,6.6,3863.0,Non,100,50,45-54 ans
1681,M,inès.michel@datascope.fr,Logistique,Bordeaux,CDI,2023-06-26,1.5,2662.0,Non,100,41,35-44 ans
1996,F,lucas.thomas@datascope.fr,Marketing,Toulouse,CDI,2020-07-01,4.5,1700.0,Oui,80,55,55 ans et plus
1024,F,louis.moreau@datascope.fr,Juridique,Lille,CDI,2022-12-18,2.0,1791.0,Non,100,30,25-34 ans
3318,F,nicolas.moreau@datascope.fr,Juridique,Bordeaux,CDI,2016-10-05,8.2,3856.0,Non,100,26,25-34 ans
3172,M,hugo.garcia@datascope.fr,Marketing,Grenoble,CDI,2017-05-10,7.6,2743.0,Non,100,38,35-44 ans
3356,M,pierre.petit@datascope.fr,Finance,Strasbourg,CDD,2022-08-17,2.4,2871.0,Oui,80,46,45-54 ans
3111,NB,chloé.thomas@datascope.fr,Opérations,Toulouse,CDI,2020-09-18,4.3,2901.0,Non,100,35,35-44 ans
3274,M,emma.moreau@datascope.fr,Marketing,Marseille,CDI,2022-05-08,2.7,3070.0,Oui,50,33,25-34 ans
2171,M,pierre.leroy@datascope.fr,Juridique,Bordeaux,CDI,2017-10-21,7.2,2718.0,Non,100,45,45-54 ans
3292,M,alice.richard@datascope.fr,RH,Lille,CDD,2024-12-18,0.0,2173.0,Non,100,59,55 ans et plus
1669,M,inès.lefebvre@datascope.fr,Juridique,Nantes,CDI,2022-06-18,2.5,2850.0,Oui,80,37,35-44 ans
1214,NB,hugo.roux@datascope.fr,R&D,Bordeaux,CDI,2020-07-28,4.4,2878.0,Oui,50,50,45-54 ans
2615,F,lucas.richard@datascope.fr,Commercial,Grenoble,CDI,2015-03-08,9.8,2845.0,Non,100,39,35-44 ans
3288,F,romain.simon@datascope.fr,RH,Nice,CDD,2024-04-10,0.7,1792.0,Non,100,32,25-34 ans
2016,F,théo.lefebvre@datascope.fr,RH,Paris,CDD,2024-03-31,0.8,2556.0,Non,100,37,35-44 ans
1543,F,louis.vincent@datascope.fr,Finance,Grenoble,CDI,2015-02-01,9.9,2552.0,Non,100,51,45-54 ans
2009,F,camille.durand@datascope.fr,Finance,Lyon,CDI,2015-05-29,9.6,3849.0,Non,100,56,55 ans et plus
2822,F,romain.david@datascope.fr,Marketing,Lyon,CDI,2018-01-06,7.0,3220.0,Oui,50,33,25-34 ans
2155,NB,inès.moreau@datascope.fr,Informatique,Nice,CDI,2024-12-29,0.0,1803.0,Non,100,57,55 ans et plus
2344,F,pierre.durand@datascope.fr,R&D,Lille,CDI,2016-06-24,8.5,2936.0,Non,100,59,55 ans et plus
2153,F,théo.garcia@datascope.fr,Commercial,Paris,CDI,2021-11-05,3.2,3534.0,Non,100,59,55 ans et plus
2976,M,julie.bernard@datascope.fr,RH,Paris,CDD,2023-01-15,2.0,2098.0,Non,100,39,35-44 ans
2853,F,louis.michel@datascope.fr,RH,Nice,CDD,2019-08-23,5.4,1927.0,Non,100,39,35-44 ans
1232,NB,marie.michel@datascope.fr,Marketing,Grenoble,CDI,2020-09-26,4.3,900.0,Non,100,53,45-54 ans
2665,M,romain.fournier@datascope.fr,Direction,Nantes,CDI,2017-09-12,7.3,4139.0,Non,100,40,35-44 ans
2400,M,paul.moreau@datascope.fr,Finance,Marseille,CDI,2023-03-24,1.8,3633.0,Oui,50,51,45-54 ans
2945,F,emma.moreau@datascope.fr,R&D,Toulouse,CDI,2022-02-15,2.9,3910.0,Oui,80,52,45-54 ans
1402,F,léa.richard@datascope.fr,Logistique,Strasbourg,CDI,2017-07-10,7.5,3054.0,Non,100,43,35-44 ans
3287,F,pierre.robert@datascope.fr,Commercial,Lille,CDD,2020-03-06,4.8,2849.0,Oui,50,59,55 ans et plus
2755,F,louis.garcia@datascope.fr,Informatique,Toulouse,Stage,2018-01-29,6.9,900.0,Non,100,38,35-44 ans
2010,NB,paul.robert@datascope.fr,Informatique,Nantes,CDD,2017-12-24,7.0,2910.0,Oui,50,30,25-34 ans
2060,F,théo.richard@datascope.fr,Logistique,Nice,CDI,2019-01-09,6.0,3282.0,Non,100,59,55 ans et plus
3173,F,hugo.dubois@datascope.fr,Commercial,Strasbourg,CDD,2023-06-14,1.5,1834.0,Oui,50,33,25-34 ans
2911,F,antoine.simon@datascope.fr,Direction,Lyon,CDI,2020-06-11,4.6,2222.0,Oui,50,47,45-54 ans
2192,M,camille.simon@datascope.fr,Logistique,Grenoble,CDI,2020-05-13,4.6,2242.0,Non,100,41,35-44 ans
1194,F,pierre.richard@datascope.fr,R&D,Strasbourg,CDI,2015-11-12,9.1,2551.0,Non,100,10,Moins de 25 ans
3029,M,antoine.robert@datascope.fr,Commercial,Nantes,CDI,2018-07-06,6.5,3109.0,Non,100,32,25-34 ans
2015,M,paul.garcia@datascope.fr,RH,Nantes,CDD,2018-12-04,6.1,1745.0,Non,100,51,45-54 ans
1327,F,lucas.thomas@datascope.fr,RH,Marseille,CDI,2017-09-22,7.3,1952.0,Oui,80,51,45-54 ans
1596,F,julie.dubois@datascope.fr,R&D,Bordeaux,CDI,2016-07-30,8.4,1109.0,Non,100,37,35-44 ans
3333,M,alice.durand@datascope.fr,Juridique,Nantes,Alternance,2016-04-27,8.7,900.0,Oui,80,34,25-34 ans
2243,M,lucas.roux@datascope.fr,Direction,Bordeaux,CDI,2024-12-04,0.1,2297.0,Non,100,42,35-44 ans
3327,M,théo.vincent@datascope.fr,Commercial,Marseille,CDI,2024-05-28,0.6,1431.0,Oui,80,40,35-44 ans
1636,F,paul.david@datascope.fr,Marketing,Lyon,CDI,2015-07-12,9.5,2488.0,Oui,50,42,35-44 ans
1273,F,lucas.david@datascope.fr,Informatique,Grenoble,CDI,2022-05-31,2.6,2957.0,Non,100,54,45-54 ans
2077,M,lucas.fournier@datascope.fr,Logistique,Strasbourg,Interim,2019-10-22,5.2,1327.0,Non,100,52,45-54 ans
2068,M,chloé.robert@datascope.fr,R&D,Paris,Interim,2017-10-26,7.2,2049.0,Non,100,26,25-34 ans
1561,M,marie.laurentdatascope.fr,Legal,Marseille,CDI,2017-10-10,7.2,0.0,Non,100,12,Moins de 25 ans
3263,F,chloé.lefebvre@datascope.fr,Informatique,Nice,CDI,2021-01-17,4.0,2549.0,Non,100,54,45-54 ans
1070,F,paul.richard@datascope.fr,Opérations,Toulouse,CDI,2021-05-22,3.6,3222.0,Non,100,51,45-54 ans
2916,M,alice.fournier@datascope.fr,Commercial,Lyon,CDI,2023-12-12,1.1,3597.0,Non,100,39,35-44 ans
1527,M,lucas.robert@datascope.fr,Informatique,Paris,Stage,2015-06-13,9.6,900.0,Non,100,52,45-54 ans
3276,M,chloé.moreau@datascope.fr,Informatique,Lille,CDI,2016-01-03,9.0,3079.0,Non,100,25,25-34 ans
1626,F,julie.durand@datascope.fr,Commercial,Strasbourg,CDI,2017-06-13,7.6,2142.0,Oui,80,49,45-54 ans
1374,M,antoine.vincent@datascope.fr,Marketing,Lyon,CDI,2015-12-11,9.1,2564.0,Oui,80,26,25-34 ans
2651,M,lucas.robert@datascope.fr,R&D,Nantes,Alternance,2016-11-28,8.1,1424.0,Oui,80,28,25-34 ans
1300,M,alice.david@datascope.fr,Commercial,Lyon,Stage,2019-11-10,5.1,,Non,100,34,25-34 ans
1862,M,chloé.petit@datascope.fr,RH,Strasbourg,CDI,2022-11-03,2.2,4225.0,Oui,80,26,25-34 ans
2690,F,camille.durand@datascope.fr,Commercial,Grenoble,CDI,2017-07-02,7.5,2526.0,Non,100,31,25-34 ans
3015,F,paul.richard@datascope.fr,Commercial,Nice,CDI,2016-03-30,8.8,3421.0,Non,100,42,35-44 ans
3281,F,antoine.robert@datascope.fr,Finance,Lyon,CDD,2017-01-25,7.9,2711.0,Non,100,34,25-34 ans
2909,F,sophie.dubois@datascope.fr,RH,Bordeaux,CDI,2017-09-14,7.3,1542.0,Non,100,51,45-54 ans
1635,F,nicolas.bertrand@datascope.fr,Informatique,Grenoble,CDI,2020-04-20,4.7,1753.0,Oui,50,39,35-44 ans
1924,F,hugo.richard@datascope.fr,Informatique,Paris,Stage,2017-02-07,7.9,900.0,Non,100,31,25-34 ans
2684,M,thomas.petit@datascope.fr,Direction,Bordeaux,Interim,2019-05-21,5.6,2458.0,Non,100,24,Moins de 25 ans
1513,M,nicolas.garcia@datascope.fr,Informatique,Paris,CDI,2020-10-18,4.2,3723.0,Non,100,59,55 ans et plus
1952,F,julie.petit@datascope.fr,Informatique,Bordeaux,CDI,2022-11-17,2.1,3990.0,Oui,50,41,35-44 ans
1425,F,sarah.bertrand@datascope.fr,Juridique,Bordeaux,CDI,2017-02-21,7.9,1790.0,Non,100,45,45-54 ans
1679,M,léa.richard@datascope.fr,Finance,Nice,CDI,2017-03-10,7.8,1818.0,Non,100,51,45-54 ans
3321,F,louis.durand@datascope.fr,Juridique,Paris,CDD,2020-05-26,4.6,2939.0,Non,100,44,35-44 ans
2659,M,camille.moreau@datascope.fr,Opérations,Bordeaux,CDI,2021-09-23,3.3,2429.0,Non,100,50,45-54 ans
1015,F,sophie.dubois@datascope.fr,Logistique,Nantes,CDI,2023-12-27,1.0,2505.0,Non,100,50,45-54 ans
1445,F,camille.michel@datascope.fr,Informatique,Toulouse,CDI,2021-09-29,3.3,1947.0,Oui,50,46,45-54 ans
2595,M,pierre.bernard@datascope.fr,Opérations,Grenoble,CDD,2021-09-19,3.3,3012.0,Oui,50,57,55 ans et plus
1566,M,léa.david@datascope.fr,Informatique,Nantes,CDI,2023-07-17,1.5,2670.0,Non,100,38,35-44 ans
1937,M,hugo.bernard@datascope.fr,Informatique,Bordeaux,CDI,2021-01-29,3.9,2505.0,Oui,80,37,35-44 ans
2879,F,camille.michel@datascope.fr,Finance,Paris,CDI,2022-03-06,2.8,3805.0,Non,100,33,25-34 ans
2244,M,marie.vincent@datascope.fr,RH,Grenoble,Alternance,2015-10-20,9.2,900.0,Non,100,53,45-54 ans
3392,M,nicolas.vincent@datascope.fr,Marketing,Lyon,CDI,2016-07-18,8.5,2986.0,Non,100,41,35-44 ans
2761,F,inès.bernard@datascope.fr,Informatique,Toulouse,Alternance,2016-05-11,8.6,1294.0,Non,100,50,45-54 ans
1927,F,alice.vincent@datascope.fr,Informatique,Paris,CDD,2015-10-25,9.2,1397.0,Non,100,43,35-44 ans
2317,M,sophie.bertrand@datascope.fr,Opérations,Toulouse,Interim,2015-07-27,9.4,2933.0,Non,100,58,55 ans et plus
3148,F,lucas.fournier@datascope.fr,R&D,Nice,CDI,2020-02-26,4.8,1867.0,Non,100,39,35-44 ans
2126,M,hugo.laurent@datascope.fr,Opérations,Lille,Interim,2020-05-24,4.6,3015.0,Oui,80,24,Moins de 25 ans
2535,F,théo.bernard@datascope.fr,Direction,Marseille,CDI,2021-02-15,3.9,1930.0,Non,100,53,45-54 ans
3062,M,marie.petit@datascope.fr,Informatique,Lyon,CDI,2023-11-04,1.2,2403.0,Non,100,34,25-34 ans
3189,M,louis.lefebvre@datascope.fr,Finance,Lille,CDI,2017-07-01,7.5,2467.0,Oui,80,37,35-44 ans
2360,F,théo.robert@datascope.fr,RH,Lyon,CDI,2018-04-24,6.7,4053.0,Non,100,58,55 ans et plus
1044,M,pierre.dubois@datascope.fr,Marketing,Nantes,Alternance,2017-04-11,7.7,1072.0,Oui,80,43,35-44 ans
2781,M,antoine.bernard@datascope.fr,Logistique,Strasbourg,Stage,2024-10-29,0.2,900.0,Non,100,32,25-34 ans
1147,F,pierre.fournier@datascope.fr,Direction,Lille,CDI,2019-09-24,5.3,2575.0,Oui,50,32,25-34 ans
2488,F,nicolas.bertrand@datascope.fr,Finance,Lyon,CDI,2015-08-24,9.4,2048.0,Oui,80,39,35-44 ans
2485,NB,hugo.petit@datascope.fr,R&D,Marseille,CDI,2016-03-11,8.8,1553.0,Non,100,24,Moins de 25 ans
3371,F,camille.lefebvre@datascope.fr,Direction,Lyon,CDI,2022-10-27,2.2,1947.0,Oui,50,56,55 ans et plus
2762,M,théo.fournier@datascope.fr,RH,Marseille,CDD,2016-04-25,8.7,2143.0,Non,100,30,25-34 ans
2196,F,nicolas.david@datascope.fr,Commercial,Lille,CDI,2015-10-02,9.2,3301.0,Non,100,41,35-44 ans
1068,F,emma.dubois@datascope.fr,Commercial,Nantes,CDD,2022-07-23,2.4,2486.0,Non,100,56,55 ans et plus
2012,F,antoine.dubois@datascope.fr,R&D,Nantes,CDD,2022-10-23,2.2,2394.0,Oui,50,31,25-34 ans
1754,F,sophie.vincent@datascope.fr,Finance,Toulouse,Alternance,2023-07-30,1.4,900.0,Non,100,47,45-54 ans
2262,F,camille.thomas@datascope.fr,Commercial,Bordeaux,CDD,2017-03-07,7.8,2024.0,Non,100,55,55 ans et plus
2187,M,nicolas.simon@datascope.fr,RH,Grenoble,CDI,2019-04-27,5.7,3211.0,Oui,50,25,25-34 ans
2605,NB,louis.david@datascope.fr,Commercial,Nantes,CDI,2018-11-06,6.2,2727.0,Non,100,51,45-54 ans
2189,F,alice.dubois@datascope.fr,RH,Lyon,CDI,2019-06-22,5.5,2783.0,Oui,80,55,55 ans et plus
